task_id,trial_id,trial_number,source,difficulty,math_question,naive_human_strategy,domain_specific_LLM_strategy,reasoner_strategy_label,engineer_failure_label,critic_label,global_graph_pattern,validator_outcome,first_failure_stage,n_tool_calls,n_failed_compiles,perseverated,declared_success,final_proof_compiles,statement_preserved,axiom_clean,presentation_takeaway
easy_fatem_011,easy_fatem_011_t0,0,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t1,1,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,3,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t2,2,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t3,3,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,3,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t4,4,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t5,5,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t6,6,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t7,7,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t8,8,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
easy_fatem_011,easy_fatem_011_t9,9,FATE-M,easy,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.",Use ring/distributivity lemmas such as mul_sub and sub_mul; avoid changing the statement.,valid_strategy,no_submission,critic_false_accept,critic_masking,trace_verified,engineer,2,0,false,true,none,none,none,"O1/O2 evidence: in-loop Lean check verified the submitted code; offline kernel recheck is not claimed. Proposal grounding: README/NLP Lab O1 localization, O2 failure taxonomy, O3 early prediction. O3 is not claimed for this 100-trace slice. MD grounding: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md and docs/REPO_LAYOUT_RULES.md. Kernel=off."
